"Date";"Debate title/Bill name";"Debate Type";"link";"Representative"
"2024-08-09 00:00:00";"Demand from govt. to waive off the loans of those whose houses have been submerged in the river and they should be rehabilitated";"Special Mention";"/mptrack/debatenotfound";"Ramashankar Rajbhar"
"2024-08-06 00:00:00";"Regarding need to ensure return of money to people duped by fraudulent companies and societies in Deoria district, Uttar Pradesh";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Ramashankar Rajbhar"
"2024-08-06 00:00:00";"The Finance (No.2) Bill, 2024";"Government Bills";"/mptrack/debatenotfound";"Ramashankar Rajbhar"
"2024-08-06 00:00:00";"Demand from the govt. that ashram based school in district balia and deoria, all of them should be investigated and children should get fresh food";"Special Mention";"/mptrack/debatenotfound";"Ramashankar Rajbhar"
"2024-07-31 00:00:00";"Discussion on the Demand for Grant No. 85 under the control of the Ministry of Railways";"Budget (General)";"/mptrack/debatenotfound";"Ramashankar Rajbhar"
"2024-07-30 00:00:00";"(i) General Discussion on the Budget�2024-25; (ii) General Discussion on the Budget of Union Territory of Jammu and Kashmir for 2024-25; and (iii) Demands for Grants in respect of Union Territory of Jammu and Kashmir-2024-25.";"Budget (General)";"/mptrack/debatenotfound";"Ramashankar Rajbhar"
"2024-07-29 00:00:00";"Regarding refund of money to investors of Sahara Cooperatives";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Ramashankar Rajbhar"
"2024-07-22 00:00:00";"Problems related to Revti and Bankata railway stations in UP";"Special Mention";"/mptrack/debatenotfound";"Ramashankar Rajbhar"
"2024-07-02 00:00:00";"Motion of Thanks on the President's Address";"Motion of Thanks on the President's Address";"/mptrack/debatenotfound";"Ramashankar Rajbhar"
"2024-07-25 00:00:00";"(i) General Discussion on the Budget-2024-25; (ii) General Discussion on the Budget of Union Territory of Jammu and Kashmir for 2024-25; and (iii) Demands for Grants in respect of Union Territory of Jammu and Kashmir-2024-25.";"Budget (General)";"/mptrack/debatenotfound";"M Mallesh Babu"
"2024-07-25 00:00:00";"Request to govt mandatory the super straw management system machine with every combine harvester at the time of harvesting";"Special Mention";"/mptrack/debatenotfound";"Roopkumari Choudhary"
"2024-08-05 00:00:00";"Regarding need to bring back stranded Indians from Russia";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Radhakrishna"
"2024-07-01 00:00:00";"Regarding establishment of railway division in Kalaburagi, Karnataka";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Radhakrishna"
"2024-08-09 00:00:00";"Request to govt. for the renewal of the Sakshar Bharat Mission scheme and pending honorarium should also be paid to education promoters";"Special Mention";"/mptrack/debatenotfound";"Daroga Prasad Saroj"
"2024-08-07 00:00:00";"Regarding power situation in Lalganj Parliamentary Constituency and also non-payment of wages under MGNREGS in a time-bound manner to labourers";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Daroga Prasad Saroj"
"2024-07-30 00:00:00";"Discussion on the Demand for Grant No. 85 under the control of the Ministry of Railways";"Budget (General)";"/mptrack/debatenotfound";"Daroga Prasad Saroj"
"2024-07-30 00:00:00";"Request to govt remove the fake toll plaza of a road passes through jaunpur connecting azamgarh in lalganj lok sabha constituency";"Special Mention";"/mptrack/debatenotfound";"Daroga Prasad Saroj"
"2024-07-24 00:00:00";"Raised the voice against the proposed expansion of Manduri Airport";"Special Mention";"/mptrack/debatenotfound";"Daroga Prasad Saroj"
"2024-08-09 00:00:00";"Regarding need to release funds under Border Area Development Programme in Banaskantha Parliamentary constituency, Gujarat";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Geniben Nagaji Thakor"
"2024-08-05 00:00:00";"Discussion on the Demands for Grants Nos. 43 and 44 under the control of the Ministry of Fisheries, Animal Husbandry and Dairying";"Budget (General)";"/mptrack/debatenotfound";"Geniben Nagaji Thakor"
"2024-08-02 00:00:00";"Discussion on the Demands for Grants Nos. 46 and 47 under the control of the Ministry of Health and Family Welfare";"Budget (General)";"/mptrack/debatenotfound";"Geniben Nagaji Thakor"
"2024-08-01 00:00:00";"Discussion on the Demands for Grants Nos. 25 and 26 under the control of the Ministry of Education";"Budget (General)";"/mptrack/debatenotfound";"Geniben Nagaji Thakor"
"2024-08-01 00:00:00";"Request to minister increase the minimum wages of anganwadi workers from 4500 to 11,000";"Special Mention";"/mptrack/debatenotfound";"Geniben Nagaji Thakor"
"2024-07-31 00:00:00";"Discussion on the Demand for Grant No. 85 under the control of the Ministry of Railways";"Budget (General)";"/mptrack/debatenotfound";"Geniben Nagaji Thakor"
"2024-07-30 00:00:00";"(i) General Discussion on the Budget�2024-25; (ii) General Discussion on the Budget of Union Territory of Jammu and Kashmir for 2024-25; and (iii) Demands for Grants in respect of Union Territory of Jammu and Kashmir-2024-25.";"Budget (General)";"/mptrack/debatenotfound";"Geniben Nagaji Thakor"
"2024-07-24 00:00:00";"Request to minister to take strict steps to stop increasing of chandipura virus rapidly in Gujarat";"Special Mention";"/mptrack/debatenotfound";"Geniben Nagaji Thakor"
"2024-07-02 00:00:00";"Motion of Thanks on the President's Address";"Motion of Thanks on the President's Address";"/mptrack/debatenotfound";"Geniben Nagaji Thakor"
"2024-08-08 00:00:00";"Request to govt. kindly look into the matter related to the prevention of cruelty to animals";"Special Mention";"/mptrack/debatenotfound";"Sayani Ghosh"
"2024-08-05 00:00:00";"Discussion on the Demands for Grants Nos. 43 and 44 under the control of the Ministry of Fisheries, Animal Husbandry and Dairying";"Budget (General)";"/mptrack/debatenotfound";"Sayani Ghosh"
"2024-07-22 00:00:00";"Request to govt expedite the proposed Baruipur Kavi Subhash metro";"Special Mention";"/mptrack/debatenotfound";"Sayani Ghosh"
"2024-08-08 00:00:00";"Opposed the introduction of The Waqf (Amendment) Bill, 2024";"Government Bills";"/mptrack/debatenotfound";"Mian Altaf Ahmad"
"2024-08-02 00:00:00";"Discussion on the Demands for Grants Nos. 46 and 47 under the control of the Ministry of Health and Family Welfare";"Budget (General)";"/mptrack/debatenotfound";"Mian Altaf Ahmad"
"2024-07-25 00:00:00";"(i) General Discussion on the Budget-2024-25; (ii) General Discussion on the Budget of Union Territory of Jammu and Kashmir for 2024-25; and (iii) Demands for Grants in respect of Union Territory of Jammu and Kashmir-2024-25.";"Budget (General)";"/mptrack/debatenotfound";"Mian Altaf Ahmad"
"2024-07-01 00:00:00";"Motion of Thanks on the President's Address";"Motion of Thanks on the President's Address";"/mptrack/debatenotfound";"Mian Altaf Ahmad"
"2024-08-09 00:00:00";"Request to govt. train no. 13211/13212-jogbani-danapur express and 13213/13214-jogbani-saharsa express should be stopped at pratapganj rail station for 2 minutes and vaishali express train no.-12553/12554 and rajyarani express train no.-12567/12568 should be extended from saharsa to saraigarh or supaul";"Special Mention";"/mptrack/debatenotfound";"Dileshwar Kamait"
"2024-08-08 00:00:00";"Regarding establishment of Kendriya Vidyalaya at SSB Camp at Birpur in Supaul Parliamentary constituency, Bihar";"LS - Matters under (Rule-377)";"/mptrack/debatenotfound";"Dileshwar Kamait"
"2024-08-08 00:00:00";"The Bhartiya Vayuyan Vidheyak, 2024";"Government Bills";"/mptrack/debatenotfound";"Dileshwar Kamait"
"2024-08-05 00:00:00";"Discussion on the Demands for Grants Nos. 43 and 44 under the control of the Ministry of Fisheries, Animal Husbandry and Dairying";"Budget (General)";"/mptrack/debatenotfound";"Dileshwar Kamait"
"2024-08-02 00:00:00";"Discussion on the Demands for Grants Nos. 46 and 47 under the control of the Ministry of Health and Family Welfare";"Budget (General)";"/mptrack/debatenotfound";"Dileshwar Kamait"
"2024-08-01 00:00:00";"Discussion on the Demands for Grants Nos. 25 and 26 under the control of the Ministry of Education";"Budget (General)";"/mptrack/debatenotfound";"Dileshwar Kamait"
"2024-07-30 00:00:00";"(i) General Discussion on the Budget�2024-25; (ii) General Discussion on the Budget of Union Territory of Jammu and Kashmir for 2024-25; and (iii) Demands for Grants in respect of Union Territory of Jammu and Kashmir-2024-25.";"Budget (General)";"/mptrack/debatenotfound";"Dileshwar Kamait"
"2024-07-30 00:00:00";"Discussion on the Demand for Grant No. 85 under the control of the Ministry of Railways";"Budget (General)";"/mptrack/debatenotfound";"Dileshwar Kamait"
